name,chain,city,source,external_id,address,lat,lng,google_maps_url,booking_url,id,created_at
CGV Grand Indonesia,CGV,Jakarta,cgv,002,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/002,8af4e664-b6f0-4f16-b653-9e9846f27b29,2026-05-27T17:31:50.461324
CGV Pacific Place,CGV,Jakarta,cgv,003,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/003,fd5c8e3a-ee95-440c-a522-48a3426bcc3e,2026-05-27T17:31:50.461395
CGV Central Park,CGV,Jakarta,cgv,006,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/006,6d59c2a6-890d-4ae8-aa1c-9121b9689139,2026-05-27T17:31:50.461456
CGV Slipi Jaya,CGV,Jakarta,cgv,020,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/020,4080d63f-ec1e-4a4c-ba62-40e085313399,2026-05-27T17:31:50.461511
CGV Green Pramuka Mall,CGV,Jakarta,cgv,025,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/025,25e44aab-0acd-4570-9716-61a66a217ffb,2026-05-27T17:31:50.461561
CGV Bella Terra Lifestyle Center,CGV,Jakarta,cgv,028,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/028,5f9f03b3-d872-4f9c-be71-34dab777328e,2026-05-27T17:31:50.461611
CGV Transmart Cempaka Putih,CGV,Jakarta,cgv,035,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/035,19bc1777-8a7a-4726-a538-6267f3af80cd,2026-05-27T17:31:50.461663
CGV Aeon Mall JGC,CGV,Jakarta,cgv,037,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/037,e149c879-74b5-4b69-98ac-8674d78b4c48,2026-05-27T17:31:50.461712
CGV FX Sudirman,CGV,Jakarta,cgv,049,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/049,614599b9-a778-47a7-8472-d2c68f3b92c9,2026-05-27T17:31:50.461760
CGV Sunter Mall,CGV,Jakarta,cgv,068,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/068,0592b744-9836-4081-ab2f-2c617db31fa5,2026-05-27T17:31:50.461812
CGV Buaran Plaza,CGV,Jakarta,cgv,086,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/086,dc212f3f-7a97-4a1a-9757-057b74919036,2026-05-27T17:31:50.461864
CGV Poins Mall,CGV,Jakarta,cgv,092,,0.0,0.0,,https://www.cgv.id/en/schedule/cinema/092,c7040b1f-a396-4e78-b166-38482b9e2b45,2026-05-27T17:31:50.461930
