name,chain,city,source,external_id,address,lat,lng,google_maps_url,booking_url,id,created_at
Binjai Supermall,Cinepolis,Binjai,cinepolis,525e66bd-4934-4314-aa66-62c2cdf3541d,"Jl. Soekarno- Hatta No.14, Timbang Langkat, Binjai, Sumatra utara, LT UG , Binjai",3.6077359,98.4965394,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=525e66bd-4934-4314-aa66-62c2cdf3541d&title=binjai-supermall,36c0a02d-88e7-4467-ab42-45fee1238b3c,2026-05-27T17:31:57.689085
Blu Plaza,Cinepolis,Bekasi Timur,cinepolis,30e9d642-7d56-4f14-b1ed-8759dbf7c39e,"Jl. Chairil anwar no.27-36 RT 004/009, Margahayu, kec. Bekasi Timur, kota Bekasi, Jawa Barat , Bekasi , Bekasi",-6.2561103,107.0079925,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=30e9d642-7d56-4f14-b1ed-8759dbf7c39e&title=blu-plaza,b06f23b2-fdee-4b70-ac5e-a8513a4dee94,2026-05-27T17:31:58.323850
Cibubur Junction,Cinepolis,Cibubur,cinepolis,c6d8218f-213b-49ef-bb86-19c12539706a,"Jalan Jambore No.1, RT.8/RW.7, Cibubur, Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta , Jakarta Timur",-6.369634,106.894167,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=c6d8218f-213b-49ef-bb86-19c12539706a&title=cibubur-junction,5b3d0557-8416-4209-b27a-d82a890bce35,2026-05-27T17:31:58.709276
Citimall Ketapang,Cinepolis,Ketapang,cinepolis,a0aa6441-4287-4311-a04f-b476e1ae59b6,"Sampit, Delta Pawan, Payah Kumang, Delta Pawan, Kabupaten Ketapang, Kalimantan Barat , Ketapang",-1.825966,109.969306,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=a0aa6441-4287-4311-a04f-b476e1ae59b6&title=citimall-ketapang,50d76941-a11f-44b6-8ac9-ef51a380dea2,2026-05-27T17:32:00.687978
Citimall Prabumulih,Cinepolis,Prabumulih,cinepolis,b8890aa6-2294-4e93-aad3-f43bd19a91e9,"Citimall Jalan Lingkar Timur RT 11 RW 01 Kelurahan Gunung Ibul, Kecamatan Prabumulih Timur , Prabumulih",-3.39902,104.275205,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=b8890aa6-2294-4e93-aad3-f43bd19a91e9&title=citimall-prabumulih,891d6596-fe72-4436-aa71-e1b1c2b23efe,2026-05-27T17:32:02.428709
Citimall Sampit,Cinepolis,Sampit,cinepolis,8bce6bde-4b4f-400d-8426-1964eacfbf5f,"Jl. Jenderal Sudirman KM 1,5 (Citimall) Sampit, RT 47 RW 8, Kelurahan Mentawa Baru Hulu, Kecamatan Mentawa Baru Ketapang, Kabupaten Kotawaringin Timur , Sampit",-2.5394453,112.958727,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=8bce6bde-4b4f-400d-8426-1964eacfbf5f&title=citimall-sampit,9e52b85d-3b4c-4617-bfe8-23bb3be542b5,2026-05-27T17:32:03.627450
Citiplaza Kutabumi,Cinepolis,Kutabumi,cinepolis,5397d046-5b67-4f7a-ac25-4ac93accd3f9,"Citiplaza Kutabumi Lt.2, Jl. Raya Kutabumi No.8, Kuta Baru, Kec. Ps. Kemis, Tangerang, Banten 15560 , Tangerang",-6.1531024,106.578642,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=5397d046-5b67-4f7a-ac25-4ac93accd3f9&title=citiplaza-kutabumi,5ed8b442-1e29-4d1c-b463-c6e882cd12c2,2026-05-27T17:32:05.131732
City Of Tomorrow,Cinepolis,Surabaya,cinepolis,1e8a8275-1629-408f-a13e-4a5bb93aab31,"Jl. A. Yani No 288, Dukuh Menanggal, Gayungan, Kota Surabaya , Surabaya",-7.3454,112.7278607,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=1e8a8275-1629-408f-a13e-4a5bb93aab31&title=city-of-tomorrow,43e9d900-8b52-4032-b82e-45ed9d140d35,2026-05-27T17:32:06.030715
Depok Town Square,Cinepolis,Depok,cinepolis,e179a74f-0e1c-4842-83bb-ffa7306922d4,"Jalan Margonda Raya No 1, RT 002/RW 008, Kelurahan Pondok Cina, Kecamatan Beji, Kota Depok , Depok",-6.372575,106.832443,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=e179a74f-0e1c-4842-83bb-ffa7306922d4&title=depok-town-square,53c1197c-0012-4c8f-8579-de558b4c40b9,2026-05-27T17:32:08.464861
Distrik 1 Meikarta,Cinepolis,Cikarang,cinepolis,95e3c3a7-b4de-4909-9102-a05dbbb2e129,"District 1 Meikarta Jl. Orange County Boulevard, Cikarang Selatan, Bekasi, Jawa Barat 17530 , Cikarang",-6.3389,107.1668,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=95e3c3a7-b4de-4909-9102-a05dbbb2e129&title=distrik-1-meikarta,b3307e7d-3f97-4205-ae4d-ecacb3a84970,2026-05-27T17:32:09.139073
Gajah Mada Plaza,Cinepolis,Jakarta,cinepolis,2884f631-d4da-408b-91bb-01b70e9d257d,"Gajah Mada Plaza, Jl. Gajah Mada No. 19-26 Jakarta Pusat , Jakarta",-6.1607955,106.8182032,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=2884f631-d4da-408b-91bb-01b70e9d257d&title=gajah-mada-plaza,bfbc1c34-e65c-48ce-b979-b861ae0466fe,2026-05-27T17:32:11.208664
Istana Plaza,Cinepolis,Bandung,cinepolis,4538bc45-c9e7-4033-af62-ca4efab771b5,"Jalan Pasirkaliki No.121-123, Pamoyanan, Cicendo, Pamoyanan, Cicendo, Kota Bandung, Jawa Barat , Bandung",-6.905695,107.594883,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=4538bc45-c9e7-4033-af62-ca4efab771b5&title=istana-plaza,ddb49f4d-fce2-42ff-9e7d-aa789004b841,2026-05-27T17:32:12.183192
Java Supermall Semarang,Cinepolis,Semarang,cinepolis,0db5ab66-ec25-4ba1-bf74-94b01c4cf525,"Jl. Letjen MT. Hryono No.992-994 Lamper Kidul, Semarang Selatan, Kota Semarang - Jawa Tengah , Semarang",-7.00632,110.432733,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=0db5ab66-ec25-4ba1-bf74-94b01c4cf525&title=java-supermall-semarang,9bed380d-1a02-41a7-b587-cdc60a3febc4,2026-05-27T17:32:13.614126
Kalibata City Square,Cinepolis,Kalibata,cinepolis,fa892172-e616-4b42-b927-b4ee78379571,"Jalan Raya Kalibata No.1, RT.9/RW.4, Rawajati, Pancoran , Jakarta",-6.256931,106.851805,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=fa892172-e616-4b42-b927-b4ee78379571&title=kalibata-city-square,2d7bc0f4-733b-4625-b1f2-9b084c8372ae,2026-05-27T17:32:15.171123
Kebayoran Park Mall,Cinepolis,Kebayoran Lama,cinepolis,638c30b7-4e6f-4572-a52a-75c340b3b9a4,"Jl. Ciledug Raya, RT.1/RW.1, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240 , Jakarta",-6.2380161,106.7641745,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=638c30b7-4e6f-4572-a52a-75c340b3b9a4&title=kebayoran-park-mall,0c3cfa9b-9de0-405d-b8ae-9f9d43c61191,2026-05-27T17:32:17.261621
KSquare Batam,Cinepolis,Batam,cinepolis,390197ce-9dbf-4e7b-a644-2574d6c841e2,"K SQUARE, Jl. Sudirman No.25-35, Sukajadi, Batam Kota, Batam City, Riau Islands 29444 , Batam",1.1011387,104.0367719,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=390197ce-9dbf-4e7b-a644-2574d6c841e2&title=ksquare-batam,9931cafc-d6e5-4a97-b26f-9e1aa60f5467,2026-05-27T17:32:18.817257
